Title,Alternative Title,Description,Language,Creator,Title Source,Resource Class,ISO Topic Categories,Keyword,Date Issued,Temporal Coverage,Date Range,Spatial Coverage,Bounding Box,Resource Type,Format,Information,Download,MapServer,FeatureServer,ImageServer,ID,Identifier,Provider,Code,Member Of,Status,Accrual Method,Date Accessioned,Rights,Access Rights,Suppressed,Child Record
,Satellite detected water extent as of 19 July 2020 in NE Bangladesh,"UNOSAT code: FL20200713BGD  This map illustrates satellite-detected surface waters over Bangladesh as observed from a TanDEM-X image acquired on 19 July 2020 due to the current monsoon rains. Within the analyzed area of about 14,000 km2, a total of about 6,800 km2 of lands appear to be flooded. This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR - UNOSAT.
Important Note: Flood analysis from radar images may underestimate the presence of standing waters in built-up areas and densely vegetated areas due to backscattering properties of the radar signal.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,floods - storm surges|geodata,2020-07-24,"July 20, 2020-July 20, 2020",2020-2020,Bangladesh,?,?,?,https://data.humdata.org/dataset/satellite-detected-water-extent-as-of-19-july-2020-in-ne-bangladesh,?,?,?,?,?,https://data.humdata.org/dataset/satellite-detected-water-extent-as-of-19-july-2020-in-ne-bangladesh,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,Satellite detected waters in Ivano-Frankivska and Ternopilska Oblast of Ukraine as of 24 June 2020,"UNOSAT code: FL20200626UKR  This map illustrates satellite-detected surface waters in Ivano-Frankivska  and Ternopilska Oblastof Ukraine as observed from a  Sentinel-1 image acquired on 24 June 2020. Within the ana lyzed area  of about 642 km2, a  total of a bout 35 km2 of lands appear to be flooded.
This is a  preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR-UNOSAT .",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,floods - storm surges|geodata,2020-07-24,"July 08, 2020-July 08, 2020",2020-2020,Ukraine,?,?,?,https://data.humdata.org/dataset/waters-in-ivano-frankivska-and-ternopilska-oblast-of-ukraine-as-of-24-june-2020,?,?,?,?,?,https://data.humdata.org/dataset/waters-in-ivano-frankivska-and-ternopilska-oblast-of-ukraine-as-of-24-june-2020,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,"Satellite detected waters in Khulna division, Bangladesh as of 31 May 2020","UNOSAT code: TC20200518BGD  This map illustrates satellite-detected surface waters in Bagerhat, Jessore, Khulna, Narail, and Satkhira district of Khulna division, Bangladesh as observed from a Sentinel-1 image acquired on 31 May 2020. Within the analyzed area of about 8,320 km2, a total of about 462  km2 of lands appear to be flooded.
This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR - UNOSAT.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,cyclones - hurricanes - typhoons|geodata,2020-06-03,"June 02, 2020-June 02, 2020",2020-2020,Bangladesh,?,?,?,https://data.humdata.org/dataset/satellite-detected-waters-in-khulna-division-bangladesh-as-of-31-may-2020,?,?,?,?,?,https://data.humdata.org/dataset/satellite-detected-waters-in-khulna-division-bangladesh-as-of-31-may-2020,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,"Satellite detected waters in Khulna division, Bangladesh","UNOSAT code: TC20200518BGD  This map illustrates satellite-detected surface waters in Bagerhat, Jessore, Khulna, Narail, and Satkhira district of Khulna division, Bangladesh as observed from a Sentinel-1 image acquired on 25 May 2020. Within the analyzed area of about 8,320 km2, a total of about 1,000 km2 of lands appear to be flooded.
This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR - UNOSAT.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,cyclones - hurricanes - typhoons|geodata,2020-06-03,"May 26, 2020-May 26, 2020",2020-2020,Bangladesh,?,?,?,https://data.humdata.org/dataset/satellite-detected-waters-in-khulna-division-bangladesh-as-of-25-may-2020,?,?,?,?,?,https://data.humdata.org/dataset/satellite-detected-waters-in-khulna-division-bangladesh-as-of-25-may-2020,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,"Damage Assessment in Maewo Island, Penama Province, Vanuatu","UNOSAT code: TC20200403VUT  This map illustrates potentially damaged structures and buildings in Meawo Island, Penama Province, Vanuatu as detected by satellite image acquired after landfall of the Tropical Cyclone Harold-20 on 6 April 2020. UNITAR-UNOSAT analysis used a Pleiades image acquired on 21 and 27 April 2020 as post event images, Within the island boundary, UNITAR-UNOSAT identified in the cloud free zones about 20 potentially damaged structures. Taking into account the pre-building footprints provided by Humanitarian OpenStreetMap, this represents about 2% of the total number of structures within the analyzed cloud free areas.
This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR-UNOSAT.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,cyclones - hurricanes - typhoons|geodata,2020-06-03,"April 28, 2020-April 28, 2020",2020-2020,Vanuatu,?,?,?,https://data.humdata.org/dataset/damage-assessment-in-maewo-island-penama-province-vanuatu,?,?,?,?,?,https://data.humdata.org/dataset/damage-assessment-in-maewo-island-penama-province-vanuatu,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,"Damage Assessment in West Santo and South Santo Municipality, Sanma Province, Vanuatu","UNOSAT code: TC20200403VUT  This map illustrates potentially damaged structures and buildings in West Santo and South Santo Municipality, Sanma Province, Vanuatu as detected using WorldView-2 satellite images acquired on 17 and 19 April 2020 and a Pleiades satellite image acquired on 27 April 2020. Within the analyzed zone, UNITAR-UNOSAT identified in the cloud-free zones about 3,650 potentially damaged structures. Taking into account the pre-building footprints provided by Humanitarian OpenStreetMap, this represents about 63 % of the total number of structures within the analyzed cloud-free areas. This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR-UNOSAT.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,cyclones - hurricanes - typhoons|geodata,2020-06-03,"April 29, 2020-April 29, 2020",2020-2020,Vanuatu,?,?,?,https://data.humdata.org/dataset/damage-assessment-in-west-santo-and-south-santo-municipality-sanma-province-vanuatu,?,?,?,?,?,https://data.humdata.org/dataset/damage-assessment-in-west-santo-and-south-santo-municipality-sanma-province-vanuatu,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,"Damage Assessment in Ambae Island, Penama Province, Vanuatu","UNOSAT code: TC20200403VUT  This map illustrates potentially damaged structures and buildings in Ambae Island, Penama Province, Vanuatu as detected by satellite image acquired after landfall of the Tropical Cyclone Harold-20 on 6 April 2020. UNITAR-UNOSAT analysis used a WorldView-2 image acquired on 20 April 2020 and Pleiades image acquired on 21 April 2020 as post event images, Within the Island extent, UNITAR-UNOSAT identified in the cloud free zones about 60 potentially damaged structures. Taking into account the pre-building footprints provided by Humanitarian OpenStreetMap, this represents about 1% of the total number of structures within the analyzed cloud free areas.
This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR-UNOSAT.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,cyclones - hurricanes - typhoons|geodata,2020-06-03,"April 27, 2020-April 27, 2020",2020-2020,Vanuatu,?,?,?,https://data.humdata.org/dataset/damage-assessment-in-ambae-island-penama-province-vanuatu,?,?,?,?,?,https://data.humdata.org/dataset/damage-assessment-in-ambae-island-penama-province-vanuatu,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,"Damage Assessment in Paama Island, Malampa Province, Vanuatu","UNOSAT code: TC20200403VUT  This map illustrates potentially damaged structures and buildings in Paama Island, Malampa Province, Vanuatu as detected by satellite image acquired after landfall of the Tropical Cyclone Harold-20 on 6 April 2020. UNITAR-UNOSAT analysis used a Pleiades image acquired on 21 April 2020 as post event images, Within the island boundary, UNITAR-UNOSAT identified in the cloud free zones about 100 potentially damaged structures. Taking into account the pre-building footprints provided by Humanitarian OpenStreetMap, this represents about 30% of the total number of structures within the analyzed cloud free areas.
This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR-UNOSAT.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,cyclones - hurricanes - typhoons|geodata,2020-06-03,"April 24, 2020-April 24, 2020",2020-2020,Vanuatu,?,?,?,https://data.humdata.org/dataset/damage-assessment-in-paama-island-malampa-province-vanuatu,?,?,?,?,?,https://data.humdata.org/dataset/damage-assessment-in-paama-island-malampa-province-vanuatu,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,"Buildings Damage Assessment & Related Density  in Kadavu  Province, Eastern Division,  Republic of Fiji","UNOSAT code: TC20200408FJI  This map illustrates potentially damaged structures, buildings and their related density in Kadavu Province, Eastern Division, Republic of Fiji as detected by satellite images acquired on 12 April 2020. Within the Kadavu Province, UNITAR-UNOSAT identified in the cloud free zones 1,003 potentially damaged structures. Taking into account the pre-building footprints provided by OpenStreetMap, this represents about 22% of the total number of structures within the analyzed cloud free areas.
This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR - UNOSAT.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,cyclones - hurricanes - typhoons|geodata,2020-06-03,"April 17, 2020-April 17, 2020",2020-2020,Fiji,?,?,?,https://data.humdata.org/dataset/buildings-damage-assessment-related-density-in-kadavu-province-eastern-division-republic-o,?,?,?,?,?,https://data.humdata.org/dataset/buildings-damage-assessment-related-density-in-kadavu-province-eastern-division-republic-o,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,"Buildings Damage Assessment & Related Density in South of Sanma Province, Vanuatu","UNOSAT code: TC20200403VUT  This map illustrates potentially damaged structures and buildings in south of Sanma Province, Vanuatu as detected by satellite image acquired after landfall of the Tropical Cyclone Harold-20 on 6 April 2020. UNITAR-UNOSAT analysis identified about 5,200 potentially damaged structures in the analysis extent across the south of Sanma province within the cloud free areas. Taking into account the pre-building footprints provided by Humanitarian OpenStreetMap, this represents about 33% of the total number of structures/buildings within the analyzed cloud free areas. Please note that some areas could not be analyzed due to the cloud cover. Total and final estimates by municipality are summarized in the table below.
This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR-UNOSAT.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,cyclones - hurricanes - typhoons|geodata,2020-06-03,"April 16, 2020-April 16, 2020",2020-2020,Vanuatu,?,?,?,https://data.humdata.org/dataset/buildings-damage-assessment-related-density-in-south-of-sanma-province-vanuatu,?,?,?,?,?,https://data.humdata.org/dataset/buildings-damage-assessment-related-density-in-south-of-sanma-province-vanuatu,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,"Damage Assessment in Ono-i-Lau, Lau Province, Eastern Division, Republic of Fiji","UNOSAT code: TC20200408FJI  This map illustrates potentially damaged structures and buildings in Ono-i-Lau, Lau Province, Eastern Division, Republic of Fiji as detected by satellite image acquired after landfall of the Tropical Cyclone Harold-20 on 08 April 2020. UNITAR-UNOSAT analysis used a Pleiades image acquired on 10 April 2020. Within Ono District, UNITAR-UNOSAT identified 23 potentially damages structures. Taking into account the pre-building footprints provided by OpenStreetMap, this represents about 8% of the total number of structures within the analyzed cloud free areas.
This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR - UNOSAT.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,cyclones - hurricanes - typhoons|geodata,2020-06-03,"April 15, 2020-April 15, 2020",2020-2020,Fiji,?,?,?,https://data.humdata.org/dataset/damage-assessment-in-ono-i-lau-lau-province-eastern-division-republic-of-fiji,?,?,?,?,?,https://data.humdata.org/dataset/damage-assessment-in-ono-i-lau-lau-province-eastern-division-republic-of-fiji,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,"Damage Assessment in Kadavu Province, Eastern Division,  Republic of Fiji","UNOSAT code: TC20200408FJI  This map illustrates potentially damaged structures and buildings in Kadavu Province, Eastern Division, Republic of Fiji as detected by satellite image acquired after landfall of the Tropical Cyclone Harold-20 on 08 April 2020. UNITAR-UNOSAT analysis used a Pleiades image acquired on 12 April 2020. Within the Kadavu Province boundary, UNITAR-UNOSAT identified in the cloud free zones 1,003 potentially damaged structures. Taking into account the pre-building footprints provided by OpenStreetMap, this represents about 22% of the total number of structures within the analyzed cloud free areas.
This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR - UNOSAT.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,cyclones - hurricanes - typhoons|geodata,2020-06-03,"April 14, 2020-April 14, 2020",2020-2020,Fiji,?,?,?,https://data.humdata.org/dataset/damage-assessment-in-kadavu-province-eastern-division-republic-of-fiji,?,?,?,?,?,https://data.humdata.org/dataset/damage-assessment-in-kadavu-province-eastern-division-republic-of-fiji,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,"Damage Assessment in Malampa Province, Vanuatu","UNOSAT code: TC20200403VUT  This map illustrates potentially damaged structures and buildings in Malampa Province, Vanuatu as detected by satellite image acquired after landfall of the Tropical Cyclone Harold-20 on 6 April 2020. UNITAR-UNOSAT analysis used a Pleiades image acquired on 7, 8 and 9 April 2020 as post event images. Within the analysis extent, UNITAR-UNOSAT identified in the cloud free zones 25 potentially damaged structures. Taking into account the pre-building footprints provided by OpenStreetMap, this represents less than 1 % of the total number of structures within the analyzed cloud-free areas.
This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR-UNOSAT.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,cyclones - hurricanes - typhoons|geodata,2020-06-03,"April 10, 2020-April 10, 2020",2020-2020,Vanuatu,?,?,?,https://data.humdata.org/dataset/damage-assessment-in-malampa-province-vanuatu,?,?,?,?,?,https://data.humdata.org/dataset/damage-assessment-in-malampa-province-vanuatu,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
,"Damage Assessment in CanalFanafo, Luganville and South East Santo Municipalities, Sanma Province, Vanuatu","UNOSAT code: TC20200403VUT  This map illustrates potentially damaged structures and buildings in Canal-Fanafo, Luganville and South East Santo Municipality, Sanma Province, Vanuatu as detected by satellite image acquired after landfall of the Tropical Cyclone Harold-20 on 6 April 2020. UNITAR-UNOSAT analysis used a Pleiades image acquired on 7, 8 and 9 April 2020 as post event images, Within the analysis extent, UNITAR-UNOSAT identified in the cloud free zones 3,490 potentially damaged structures. Taking into account the pre-building footprints provided by Humanitarian OpenStreetMap, this represents about 35 % of the total number of structures within the analyzed cloud free areas.
This is a preliminary analysis and has not yet been validated in the field. Please send ground feedback to UNITAR-UNOSAT.",eng,UN Operational Satellite Applications Programme (UNOSAT),?,?,,cyclones - hurricanes - typhoons|geodata,2020-06-03,"April 10, 2020-April 10, 2020",2020-2020,Vanuatu,?,?,?,https://data.humdata.org/dataset/damage-assessment-in-canalfanafo-luganville-and-south-east-santo-municipalities-sanma-prov,?,?,?,?,?,https://data.humdata.org/dataset/damage-assessment-in-canalfanafo-luganville-and-south-east-santo-municipalities-sanma-prov,University of Minnesota,?,?,Active,?,2021-10-24,,Public,FALSE,FALSE,?
